Country or Area,Subgroup,Year,Source,Unit,Average annual rate of reduction of under-five mortality rate,Average annual rate of reduction of under-five mortality rate Footnotes
Kiribati,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Kiribati,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Kiribati,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Kiribati,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.8,1.0
Kuwait,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.4,1.0
Kuwait,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.1,1.0
Kuwait,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Kuwait,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.4,1.0
Kyrgyzstan,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Kyrgyzstan,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Kyrgyzstan,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,1.0
Kyrgyzstan,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.6,1.0
Lao People's Democratic Republic,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.0,1.0
Lao People's Democratic Republic,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.0,1.0
Lao People's Democratic Republic,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.0,1.0
Latin America and Caribbean,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.2,2.0
Latin America and Caribbean,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,2.0
Latin America and Caribbean,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.4,2.0
Latin America and Caribbean,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,2.0
Latvia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.7,1.0
Latvia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Latvia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.7,1.0
Least Developed Countries/Territories,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.0,2.0
Least Developed Countries/Territories,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.7,2.0
Least Developed Countries/Territories,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.3,2.0
Least Developed Countries/Territories,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.7,2.0
Lebanon,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.5,1.0
Lebanon,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.0,1.0
Lebanon,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.6,1.0
Lebanon,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.7,1.0
Lesotho,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.8,1.0
Lesotho,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.1,1.0
Lesotho,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-2.9,1.0
Lesotho,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.5,1.0
Liberia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.7,1.0
Liberia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.4,1.0
Liberia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,1.0
Liberia,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.7,1.0
Libya,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.7,1.0
Libya,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Libya,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.9,1.0
Libya,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.7,1.0
Lithuania,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.6,1.0
Lithuania,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.3,1.0
Lithuania,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,1.0
Lithuania,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Luxembourg,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,1.0
Luxembourg,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,1.0
Luxembourg,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.4,1.0
Luxembourg,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.7,1.0
Madagascar,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Madagascar,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,1.0
Madagascar,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.4,1.0
Madagascar,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.4,1.0
Malawi,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.2,1.0
Malawi,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Malawi,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Malawi,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.9,1.0
Malaysia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.4,1.0
Malaysia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,1.0
Malaysia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Malaysia,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.8,1.0
Maldives,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,14.5,1.0
Maldives,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,10.9,1.0
Maldives,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.9,1.0
Maldives,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,1.0
Mali,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.8,1.0
Mali,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.8,1.0
Mali,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.8,1.0
Mali,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.9,1.0
Malta,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Malta,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.1,1.0
Malta,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.7,1.0
Malta,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.4,1.0
Marshall Islands,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
Marshall Islands,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
Marshall Islands,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Marshall Islands,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
Mauritania,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.5,1.0
Mauritania,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.5,1.0
Mauritania,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.6,1.0
Mauritania,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.3,1.0
Mauritius,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.9,1.0
Mauritius,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.2,1.0
Mauritius,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Mauritius,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.3,1.0
Mexico,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.6,1.0
Mexico,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.4,1.0
Mexico,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.2,1.0
Mexico,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Micronesia (Federated States of),Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.4,1.0
Micronesia (Federated States of),Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.5,1.0
Micronesia (Federated States of),Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.5,1.0
Middle East and North Africa,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,2.0
Middle East and North Africa,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,2.0
Middle East and North Africa,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.4,2.0
Middle East and North Africa,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,2.0
Monaco,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.4,1.0
Monaco,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
Monaco,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.2,1.0
Mongolia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,6.6,1.0
Mongolia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.9,1.0
Mongolia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.2,1.0
Montenegro,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.1,1.0
Montenegro,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Montenegro,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
Morocco,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Morocco,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Morocco,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.3,1.0
Morocco,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.9,1.0
Mozambique,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.7,1.0
Mozambique,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.7,1.0
Mozambique,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.7,1.0
Mozambique,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.0,1.0
Myanmar,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Myanmar,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Myanmar,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Myanmar,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.4,1.0
Namibia,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.2,1.0
Namibia,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.7,1.0
Namibia,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-0.1,1.0
Namibia,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.2,1.0
Nauru,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.0,1.0
Nauru,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.0,1.0
Nauru,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.0,1.0
Nepal,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.0,1.0
Nepal,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.9,1.0
Nepal,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.8,1.0
Nepal,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.1,1.0
Netherlands,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.0,1.0
Netherlands,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.5,1.0
Netherlands,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.9,1.0
Netherlands,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.2,1.0
New Zealand,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.1,1.0
New Zealand,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.0,1.0
New Zealand,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.1,1.0
New Zealand,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.1,1.0
Nicaragua,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.6,1.0
Nicaragua,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Nicaragua,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Nicaragua,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.5,1.0
Niger,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.0,1.0
Niger,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.4,1.0
Niger,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.8,1.0
Niger,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,0.2,1.0
Nigeria,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.8,1.0
Nigeria,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Nigeria,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.3,1.0
Nigeria,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,1.0,1.0
Niue,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.0,1.0
Niue,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-1.9,1.0
Niue,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,-7.3,1.0
Norway,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.2,1.0
Norway,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,4.7,1.0
Norway,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,5.4,1.0
Norway,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.3,1.0
Oman,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,8.3,1.0
Oman,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,8.1,1.0
Oman,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,7.8,1.0
Oman,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,7.1,1.0
Pakistan,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Pakistan,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Pakistan,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Pakistan,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Palau,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Palau,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Palau,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Panama,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Panama,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.5,1.0
Panama,Total,1990-2000,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.6,1.0
Panama,Total,1970-1990,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,3.1,1.0
Papua New Guinea,Total,2000-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
Papua New Guinea,Total,1990-2011,"UN_Inter-agency Group for Child Mortality Estimation (UNICEF, World Health Organization, United Nations Population Division and the World Bank)",Percent,2.0,1.0
