Country or Area,Subgroup,Year,Source,Unit,Average annual population growth rate,Average annual population growth rate Footnotes
Republic of Moldova,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
Republic of Moldova,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.9,
Republic of Moldova,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.6,1.0
Republic of Moldova,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-1.0,
Romania,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Romania,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.4,
Romania,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.3,1.0
Romania,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.4,
Russian Federation,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Russian Federation,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,
Russian Federation,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,1.0
Russian Federation,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,
Rwanda,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.3,1.0
Rwanda,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,8.1,
Rwanda,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,1.0
Rwanda,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,
Saint Kitts and Nevis,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Saint Kitts and Nevis,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,
Saint Kitts and Nevis,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Saint Kitts and Nevis,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Saint Lucia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-1.4,1.0
Saint Lucia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-1.3,
Saint Lucia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Saint Lucia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Saint Vincent and the Grenadines,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Saint Vincent and the Grenadines,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,
Saint Vincent and the Grenadines,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,1.0
Saint Vincent and the Grenadines,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,
Samoa,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Samoa,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,
Samoa,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Samoa,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
San Marino,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
San Marino,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
San Marino,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
San Marino,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Sao Tome and Principe,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,1.0
Sao Tome and Principe,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.5,
Sao Tome and Principe,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Sao Tome and Principe,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,
Saudi Arabia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,1.0
Saudi Arabia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,
Saudi Arabia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Saudi Arabia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,
Senegal,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.3,1.0
Senegal,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.1,
Senegal,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,1.0
Senegal,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,
Serbia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Serbia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Serbia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,1.0
Serbia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,
Seychelles,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Seychelles,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Seychelles,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Seychelles,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Sierra Leone,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,1.0
Sierra Leone,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,
Sierra Leone,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,1.0
Sierra Leone,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Singapore,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Singapore,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,
Singapore,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Singapore,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,
Slovakia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Slovakia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,
Slovakia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,1.0
Slovakia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,
Slovenia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Slovenia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.2,
Slovenia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.1,1.0
Slovenia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,
Solomon Islands,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.0,1.0
Solomon Islands,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.7,
Solomon Islands,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,1.0
Solomon Islands,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,
Somalia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.1,1.0
Somalia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,
Somalia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,1.0
Somalia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,
South Africa,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
South Africa,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,
South Africa,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
South Africa,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
South Asia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,2.0
South Asia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,3.0
South Asia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,2.0
South Asia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,3.0
South Sudan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.9,4.0
South Sudan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.0,5.0
South Sudan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,4.0
South Sudan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,5.0
Spain,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
Spain,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Spain,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Spain,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,
Sri Lanka,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,1.0
Sri Lanka,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,
Sri Lanka,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Sri Lanka,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,
State of Palestine,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,1.0
State of Palestine,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.7,
State of Palestine,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,1.0
State of Palestine,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.3,
Sub-Saharan Africa,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,2.0
Sub-Saharan Africa,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.8,3.0
Sub-Saharan Africa,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,2.0
Sub-Saharan Africa,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,3.0
Sudan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,4.0
Sudan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.2,5.0
Sudan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,4.0
Sudan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,5.0
Suriname,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Suriname,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.0,
Suriname,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Suriname,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Swaziland,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Swaziland,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Swaziland,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Swaziland,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,
Sweden,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Sweden,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
Sweden,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Sweden,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,
Switzerland,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,1.0
Switzerland,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Switzerland,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Switzerland,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,
Syrian Arab Republic,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,1.0
Syrian Arab Republic,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.1,
Syrian Arab Republic,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Syrian Arab Republic,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,
Tajikistan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,1.0
Tajikistan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,
Tajikistan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Tajikistan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Thailand,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,1.0
Thailand,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,
Thailand,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Thailand,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,
The former Yugoslav Republic of Macedonia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
The former Yugoslav Republic of Macedonia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,
The former Yugoslav Republic of Macedonia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.1,1.0
The former Yugoslav Republic of Macedonia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Timor-Leste,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.1,1.0
Timor-Leste,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.6,
Timor-Leste,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,1.0
Timor-Leste,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.1,
Togo,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,1.0
Togo,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.8,
Togo,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,1.0
Togo,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,
Tonga,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
Tonga,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
Tonga,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
Tonga,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Trinidad and Tobago,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Trinidad and Tobago,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,
Trinidad and Tobago,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.0,1.0
Trinidad and Tobago,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,
Tunisia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.1,1.0
Tunisia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Tunisia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Tunisia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,
Turkey,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,1.0
Turkey,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Turkey,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,1.0
Turkey,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Turkmenistan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.8,1.0
Turkmenistan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Turkmenistan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Turkmenistan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.6,
Tuvalu,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Tuvalu,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,
Tuvalu,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
Tuvalu,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Uganda,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,5.3,1.0
Uganda,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.8,
Uganda,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.9,1.0
Uganda,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.2,
Ukraine,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.2,1.0
Ukraine,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.5,
Ukraine,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,-0.6,1.0
Ukraine,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,-0.6,
United Arab Emirates,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
United Arab Emirates,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,7.3,
United Arab Emirates,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.5,1.0
United Arab Emirates,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,7.0,
United Kingdom,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
United Kingdom,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.5,
United Kingdom,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,1.0
United Kingdom,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
United Republic of Tanzania,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.7,1.0
United Republic of Tanzania,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,4.5,
United Republic of Tanzania,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,1.0
United Republic of Tanzania,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.8,
United States,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
United States,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
United States,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.8,1.0
United States,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,
Uruguay,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,1.0
Uruguay,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.6,
Uruguay,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.3,1.0
Uruguay,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.4,
Uzbekistan,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Uzbekistan,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,
Uzbekistan,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.0,1.0
Uzbekistan,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.4,
Vanuatu,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,1.0
Vanuatu,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.8,
Vanuatu,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,1.0
Vanuatu,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,
Venezuela (Bolivarian Republic of),Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,1.0
Venezuela (Bolivarian Republic of),Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,
Venezuela (Bolivarian Republic of),Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.2,1.0
Venezuela (Bolivarian Republic of),Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.9,
Viet Nam,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,1.0
Viet Nam,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.4,
Viet Nam,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.7,1.0
Viet Nam,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,
Western and Central Africa,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.5,2.0
Western and Central Africa,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.9,3.0
Western and Central Africa,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.4,2.0
Western and Central Africa,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,3.0
World,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,2.0
World,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.2,3.0
World,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,2.0
World,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,1.3,3.0
Yemen,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.3,1.0
Yemen,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,5.5,
Yemen,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,2.7,1.0
Yemen,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,3.5,
Zambia,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,4.3,1.0
Zambia,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.5,
Zambia,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.1,1.0
Zambia,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.6,
Zimbabwe,Urban,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,3.0,1.0
Zimbabwe,Urban,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,2.3,
Zimbabwe,Total,2011-2030,UN_UNICEF based on data from United Nations Population Division,Percent,1.7,1.0
Zimbabwe,Total,1990-2011,UN_UNICEF based on data from United Nations Population Division,Percent,0.9,
fnSeqID,Footnote,,,,,
1,Based on medium-fertility variant projections.,,,,,
2,"Based on medium-fertility variant projections. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
3,"For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
4,"Based on medium-fertility variant projections. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
5,"Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item).",,,,,
